created_at;tweet;favorites_count;retweet_count;tweet_text_clean;tweet_text_clean_eng
16/12/2021 14:10;b'PAC Ansor Semampir Peduli Korban Erupsi Semeru, Kirim Sejumlah Bantuan https://t.co/2qIAlUfZKM';0;0;pac ansor semampir peduli korban erupsi semeru kirim sejumlah bantuan;pac ansor is always concerned about the eruption of Semeru, sending some help
16/12/2021 14:03;b'BADAN Amil Zakat Nasional (Baznas) menyerahkan bantuan senilai Rp15 miliar kepada warga korban Erupsi Semeru di Kabupaten Lumajang, Jawa Timur.   https://t.co/DQPNeRXSr4';0;0;badan amil zakat nasional baznas menyerahkan bantuan senilai rp15 miliar kepada warga korban erupsi semeru di kabupaten lumajang jawa timur;National Amil Zakat Agency, Baznas, handed over an amount of Rp. 15 billion to residents of the Semeru eruption newspaper in Lumajang District, East Java.
16/12/2021 13:38;b'RT @JNE_ID: Terima kasih kepada seluruh #TemanJNE yang telah memberikan bantuan untuk saudara-saudara kita yang terdampak akibat erupsi Sem\xe2\x80\xa6';15;0;terima kasih kepada seluruh yang telah memberikan bantuan untuk saudara saudara kita yang terdampak akibat erupsi sem   ;Thank you to all who have provided assistance for our brothers and sisters who were affected by the sem xe2 x80 xa6 eruption
16/12/2021 13:30;b'RT @Muh_Zain_Abid: Bersama BPBD dan NU Peduli, Banser Tanggap Bencana Kabupaten Pasuruan menyalurkan bantuan untuk korban Erupsi Gunung Sem\xe2\x80\xa6';4;0;bersama bpbd dan nu peduli banser tanggap bencana kabupaten pasuruan menyalurkan bantuan untuk korban erupsi gunung sem   ;together with BPBD and NU Care for Disaster Response Banser, Pasuruan Regency, distributed donations for the Mount Sem eruption newspaper xe2 x80 xa6
16/12/2021 13:23;b'Penyerahan bantuan untuk korban erupsi Semeru ke BPBD (Badan Penanggulangan Bencana Daerah) Surakarta. Usai melakukan penggalangan dana pada akhir pekan lalu, hasil dari penggalangan dana tersebut dibelanjakan oleh pegawai rutan sesuai dengan kebutuhan para pengungsi https://t.co/eGGGmTLKse';0;1;penyerahan bantuan untuk korban erupsi semeru ke bpbd badan penanggulangan bencana daerah surakarta usai melakukan penggalangan dana pada akhir pekan lalu hasil dari penggalangan dana terseut dielanjakan oleh pegawai rumah tahanan sesuai dengan keutuhan para pengungsi;the handover of donations for the Semeru eruption newspaper to the BPBD, the Surakarta Regional Disaster Management Agency, after raising funds at the end of last week, the results of the fundraising were carried out by the staff of the detention house in accordance with the integrity of the refugees.
16/12/2021 13:05;b'RT @Kemenag_RI: Hari Amal Bakti (HAB) Kemenag ke-76, Menag @YaqutCQoumas serahkan Rp1 M bantuan erupsi Gunung Semeru di Lumajang, Jawa Timu\xe2\x80\xa6';8;0;hari amal bakti hab kemenag ke 76 menag serahkan rp1 m bantuan erupsi gunung semeru di lumajang jawa timu   ;76th day of charity service hab Ministry of Religion Ministry of Religion handed over Rp1 m to Mt. Semeru eruption in Lumajang, East Java xe2 x80 xa6
16/12/2021 12:59;b'Bersama BPBD dan NU Peduli, Banser Tanggap Bencana Kabupaten Pasuruan menyalurkan bantuan untuk korban Erupsi Gunung Semeru tahap 2 di Posko Balai Desa Supit Urang, Pronojiwo, Lumajang\n@Official_Ansor \n@pwansorjatim\n#BanserTanggapBencana https://t.co/UrTcRoCiId';4;4;bersama bpbd dan nu peduli banser tanggap bencana kabupaten pasuruan menyalurkan bantuan untuk korban erupsi gunung semeru tahap 2 di posko balai desa supit saya pronojiwo lumajang dan dan dan;together with BPBD and NU Caring for Disaster Response Banser, Pasuruan Regency, distributed donations for the Mount Semeru eruption newspaper stage 2 at the Supit Village Hall post, I Pronojiwo Lumajang and and and
16/12/2021 12:47;b'Erupsi besar awan panas baru terjadi kembali hari ini. Kita masih membuka bantuan untuk berdonasi kepada saudara saudara kita di Daerah Semeru. \n\nKalian bisa berdonasi dan juga membantu share campaign ini temen temen army semua. \n\nTerimakasih army\xf0\x9f\x92\x95\xf0\x9f\x92\x95\n@ARMYTEAMIID @BTS_twt https://t.co/4NxxgStkou https://t.co/Xe92t87aLW';0;1;erupsi esar awan panas aru terjadi kembali hari ini kita masih membuka bantuan untuk erdonasi kepada saudara saudara kita di daerah semeru dan nkalian isa erdonasi dan juga membantu share campaign ini teman teman army semua dan nterimakasih army    x95    x95 dan;The big eruption of hot clouds just happened again today, we are still asking for donations to our brothers and sisters in the Semeru area and you guys donate and also help share this campaign, all army friends and thank you Army xf0 x9f x92 x95 xf0 x9f x92 x95 and
16/12/2021 12:41;b'POLRES SRAGEN HADIR PEDULI SEMERU,\nKAPOLRES SRAGEN BERANGKATKAN BANTUAN KEMANUSIAAN UNTUK KORBAN ERUPSI GUNUNG SEMERU https://t.co/8DSGkwZq6Z';0;1;polres sragen hadir peduli semeru nkapolres sragen berangkatkan bantuan kemanusiaan untuk korban erupsi gunung semeru;Sragen Police Station comes to care for Semeru Nkapolres Sragen sends humanitarian aid for victims of the eruption of Mount Semeru
16/12/2021 12:37;b'RT @maspiyuaja: Warga Korban Erupsi Semeru Titip Salam untuk Gubernur Anies, Terima Kasih Atas Bantuan Pemprov DKI https://t.co/SoehipllAx\xe2\x80\xa6';946;0;warga korban erupsi semeru titip salam untuk guernur anies terima kasih atas bantuan pemerintah provinsi dki;The residents of the Semeru eruption newspaper send their greetings to Governor Anies, thank you for the assistance from the DKI Provincial Government
