created_at;tweet;favorites_count;retweet_count;tweet_text_clean;tweet_text_clean_eng
16/12/2021 14:09;b'RT @MCAOps: Relawan Front Persaudaraan Islam (FPI) mengevakuasi barang-barang warga dan membersihkan Masjid Khorotun yang terdampak erupsi\xe2\x80\xa6';504;0;relawan front persaudaraan islam fpi mengevakuasi arang arang warga dan memersihkan masjid khorotun yang terdampak erupsi   ;FPI Islamic Brotherhood Front volunteers evacuate residents' charcoal and clean the Khorotun Mosque which was affected by the eruption xe2 x80 xa6
16/12/2021 14:01;b'RT @kumparan: Nemo bertahan di depan rumah yang tertutup abu vulkanik 12 hari pasca-erupsi. Meski telah dievakuasi berkali-kali, ia selalu\xe2\x80\xa6';34;0;nemo bertahan di depan rumah yang tertutup au vulkanik 12 hari pasca erupsi meski telah dievakuasi erkali kali ia selalu   ;Nemo stands in front of a house covered in volcanic au 12 days after the eruption even though he has been evacuated many times he always xe2 x80 xa6
16/12/2021 13:52;b'RT @Lelaki_5unyi: [ 16-12-21 ]\nKepanikan tim rescue IOF dilokasi bencana semeru yang melakukan evakuasi, tiba tiba gunung semeru kembali er\xe2\x80\xa6';14;0;16 12 21 nkepanikan tim rescue iof dilokasi bencana semeru yang melakukan evakuasi tia tia gunung semeru kembali er   ;16 12 21 panic iof rescue team at the semeru encana location who evacuated tia tia from semeru mountain back xe2 x80 xa6
16/12/2021 13:36;b'RT @polda_bali: Personel Polri bersama tim SAR gabungan mengevakuasi jenazah korban erupsi Gunung Semeru di Desa Sumberwuluh, Kabupaten Lum\xe2\x80\xa6';2;0;personel polri ersama tim sar gaungan mengevakuasi jenazah korban erupsi gunung semeru di desa sumerwuluh kabupaten belum   ;National Police personnel along with the SAR team evacuate the bodies of the Mount Semeru eruption newspaper in Sumerwuluh village, Kaupaten not yet xe2 x80 xa6
16/12/2021 13:32;b'RT @DPPFPI_Official: Tim evakuasi LAKSANA FPI (Laskar Siaga Bencana) menyisir kaki Gunung Semeru mencari kemungkinan korban selamat maupun\xe2\x80\xa6';627;0;tim evakuasi laksana fpi laskar siaga bencana menyisir kaki gunung semeru mencari kemungkinan korban selamat maupun   ;Evacuation teams such as the FPI Laskar Disaster Preparedness combed the foot of Mount Semeru looking for the possibility of a safe newspaper or xe2 x80 xa6
16/12/2021 13:08;b'Semeru Kembali Erupsi, Tim SAR di\xc2\xa0Evakuasi https://t.co/OVo7ygwAQf https://t.co/mb0Hj7EGWN';0;0;semeru kembali erupsi tim sar di  evakuasi;Semeru again erupts SAR team in xc2 xa0evakuasi
16/12/2021 13:06;b'RT @BimaSap45503769: allahuakbar erupsi lagi semeru kami dan relawan lainnya melakukan evakuasi https://t.co/kYEVPGcU1u';1;0;allahuakar erupsi lagi semeru kami dan relawan lainnya melakukan evakuasi;Allahu Akar erupts again Semeru we and other volunteers evacuate
16/12/2021 12:48;"b'Update Erupsi Semeru,Pemda Lumajang Fokus Evakuasi &amp; Relokasi https://t.co/eL2frd1JIP'";0;0;update erupsi semeru pemerintah daerah lumajang fokus evakuasi amp relokasi;Update on Semeru eruption, Lumajang local government focuses on evacuation & relocation
16/12/2021 12:06;b'Nemo bertahan di depan rumah yang tertutup abu vulkanik 12 hari pasca-erupsi. Meski telah dievakuasi berkali-kali, ia selalu kabur dan berujung ditemukan di lokasi yang sama.  https://t.co/NB1Psq4Igh';0;0;nemo bertahan di depan rumah yang tertutup au vulkanik 12 hari pasca erupsi meski telah dievakuasi erkali kali ia selalu kaur dan erujung ditemukan di lokasi yang sama;Nemo erupted in front of a house covered in volcanic au 12 days after the eruption, although he had been evacuated many times, he always came to a halt and was found in the same location.
16/12/2021 11:33;b'RT @Lelaki_5unyi: Relawan HILMI DPD FPI Jatim.dan DPW Surabaya, HILMI FPI Banten dan Jakarta Selatan mengevakuasi barang-barang warga dan m\xe2\x80\xa6';18;0;relawan hilmi dpd fpi jatim dan dpw suraaya hilmi fpi banten dan jakarta selatan mengevakuasi arang arang warga dan m   ;Volunteers from hilmi dpd fpi east java and dpw suraaya hilmi fpi banten and south jakarta evacuate residents' charcoal and m xe2 x80 xa6
16/12/2021 11:29;b'RT @gu4rdian_4ngel: Relawan HILMI DPD FPI Jatim.dan DPW Surabaya, HILMI FPI Banten dan Jakarta Selatan mengevakuasi barang-barang warga dan\xe2\x80\xa6';29;0;relawan hilmi dpd fpi jatim dan dpw suraaya hilmi fpi banten dan jakarta selatan mengevakuasi arang arang warga dan   ;Volunteers from hilmi dpd fpi east java and dpw suraaya hilmi fpi banten and south jakarta evacuate residents' charcoal and xe2 x80 xa6
16/12/2021 11:27;"b'RT @DPPFPI_Official: Alhamdulillah... Tim Evakuasi dari Relawan Kemanusiaan LAKSANA FPI (Laskar Siaga Bencana) sudah masuk zona merah; dima\xe2\x80\xa6'";655;0;alhamdulillah tim evakuasi dari relawan kemanusiaan laksana fpi laskar siaga bencana sudah masuk zona merah dima   ;Thank God the evacuation team from humanitarian volunteers such as the FPI Laskar Disaster Preparedness has entered the red zone in the XE2 x80 xa6
16/12/2021 11:18;b'RT @polreskuburaya: Jiwa Raga Kami Demi Kemanusiaan \n\nPotret sinergitas personel TNI-Polri saat sedang mengevakuasi korban meninggal dunia\xe2\x80\xa6';1;0;jiwa raga kami demi kemanusiaan dan npotret sinergitas personel tni polri saat sedang mengevakuasi korban meninggal dunia   ;our bodies and souls for the sake of humanity and taking pictures of the synergy of the TNI and Polri personnel while evacuating newspapers died xe2 x80 xa6
16/12/2021 11:18;b'RT @polreskuburaya: PERSONEL BRIMOB BANTU EVAKUASI BARANG BERHARGA WARGA PASCA ERUPSI\n\n#PeduliKorbanBencana\nPolri Untuk Kemanusiaan https:/\xe2\x80\xa6';1;0;personel brimob bantu evakuasi barang berharga warga pasca erupsi dan dan npolri untuk kemanusiaan https   ;Brimob personnel help evacuate residents' valuables after the eruption and and NPOLRI for humanity https xe2 x80 xa6
16/12/2021 11:18;b'RT @polreskuburaya: Kepedulian Demi Kemanusiaan \n\nMomen saat personel Polri dan TNI sedang bergotong royong mengevakuasi korban meninggal d\xe2\x80\xa6';1;0;kepedulian demi kemanusiaan dan nmomen saat personel polri dan tni sedang ergotong royong mengevakuasi korban meninggal di   ;concern for humanity and the moment when the police and military personnel were ergotong royong to evacuate newspapers died at xe2 x80 xa6
16/12/2021 10:46;b'AWAN PANAS PAKSA TIM EVAKUASI GABUNGAN PERGI, Gunung Semeru Meletus 2021... https://t.co/Uv8a5JqFIG via @YouTube \n\nAWAN PANAS MELUNCUR DERAS HARI INI\nSEMERU ERPSI LAGI\n\n#Erupsi #Semeru #Merapi #GempaJember';0;0;awan panas paksa tim evakuasi gabungan pergi gunung semeru meletus 2021;Hot clouds forced the joint evacuation team to leave Mount Semeru erupting in 2021
16/12/2021 10:11;b'RT @1yudhiasmara: Tim evakuasi gabungan Polri, TNI, Basarnas dan relawan menyelamatkan diri menjauh dari lokasi erupsi di Dsn. Kajar kuning\xe2\x80\xa6';2;0;tim evakuasi gaungan polri tni basarnas dan relawan menyelamatkan diri menjauh dari lokasi erupsi di dsn kajar kuning   ;the evacuation team echoed by the National Police, Basarnas and volunteers fled from the eruption site at Kajar Kuning Village xe2 x80 xa6
16/12/2021 09:58;b'RT @MCAOps: Relawan Front Persaudaraan Islam (FPI) membantu mengevakuasi barang-barang perabotan rumah tangga warga terdampak erupsi Gunung\xe2\x80\xa6';374;0;relawan front persaudaraan islam fpi membantu mengevakuasi arang arang peraotan rumah tangga warga terdampak erupsi gunung   ;FPI Islamic Brotherhood Front Volunteers assist in evacuating charcoal, household furniture, residents affected by the volcanic eruption xe2 x80 xa6
16/12/2021 09:43;b'dapet laporan dari kawan yg jadi relawan di #Semeru, hari ini Semeru kembali bergetar dan ada lahar dingin dan erupsi ternyata belum berhenti\n\nmohon doanya kawan, untuk para relawan yg masih berusaha melakukan evakuasi di sana\nmohon doanya, sungguh sungguh https://t.co/32l22YtLqo';2;8;dapat laporan dari kawan yang jadi relawan di hari ini semeru kembali ergetar dan ada lahar dingin dan erupsi ternyata elum erhenti dan nmohon doanya kawan untuk para relawan yang masih erusaha melakukan evakuasi di sana nmohon doanya sungguh sungguh;I got a report from a friend who was a volunteer today, Semeru was shaking again and there was cold lava and the eruption apparently hasn't stopped and I ask for your prayers, friends, for the volunteers who are still trying to evacuate there.
16/12/2021 09:35;b'Tim evakuasi gabungan Polri, TNI, Basarnas dan relawan menyelamatkan diri menjauh dari lokasi erupsi di Dsn. Kajar kuning Ds. Sumberwuluh Kec. Candipuro Kab. Lumajang pada Kamis (16/12/2021). https://t.co/svgZB6Nlxs';0;1;tim evakuasi gaungan polri tni basarnas dan relawan menyelamatkan diri menjauh dari lokasi erupsi di dsn kajar kuning ds sumerwuluh kecamatan candipuro kakak lumajang pada kamis 16 12 2021;The evacuation team of the National Police, Basarnas, and volunteers fled the eruption site at Kajar Kuning Village, Sumerwuluh District, Candipuro District, Lumajang, on Thursday 16 12 2021
16/12/2021 08:16;b'RT @HumasPoldaJatim: Tim Evakuasi gabungan Polri, TNI, Basarnas dan Relawan menyelamatkan diri menjauh dari lokasi erupsi di Dsn. Kajar kun\xe2\x80\xa6';5;0;tim evakuasi gaungan polri tni basarnas dan relawan menyelamatkan diri menjauh dari lokasi erupsi di dsn kajar kun   ;the evacuation team echoed by the National Police, Basarnas and volunteers fled the eruption site at Kajar kun dsn xe2 x80 xa6
16/12/2021 08:10;b'RT @act_sidoarjo: Hujan abu semakin tebaal! Tim ACT-MRI mengevakuasi beberapa lansia untuk dibawa ke tempat yang lebih aman.\n\n----\nErupsi G\xe2\x80\xa6';1;0;hujan au semakin teaal tim act mri mengevakuasi eerapa lanjut usia untuk diawa ke tempat yang leih aman dan dan nerupsi g   ;it's raining au it's getting tougher mri's act team evacuated a few elderly people to be taken to a safer place and broke up g xe2 x80 xa6
16/12/2021 08:02;b'dan tim relawan gabungan yang berada di zona merah mulai berangsur-angsur evakuasi diri ke tempat yang lebih aman.\n\nTim relawan MRI-ACT yang bertugas di lapangan akan terus memberikan informasi terkini mengenai erupsi Gunung Semeru.';0;0;dan tim relawan gaungan yang erada di zona merah mulai erangsur angsur evakuasi diri ke tempat yang leih aman dan ntim relawan mri act yang ertugas di lapangan akan terus memberikan informasi terkini mengenai erupsi gunung semeru;and the echo volunteer team who are in the red zone are starting to gradually evacuate themselves to a safer place and the team of mri act volunteers who are on duty in the field will continue to provide the latest information regarding the eruption of Mount Semeru
16/12/2021 08:01;b'BREAKING NEWS: Guguran Lahar Panas Semeru Terjadi Kembali, Masyarakat dan Tim Relawan Evakuasi Diri!\n\nRelawan MRI Jawa Timur, Heri Setiawan melaporkan kondisi terkini erupsi Gunung Semeru. Dikatakan bahwa guguran lahar panas terjadi cukup besar sehingga warga https://t.co/1Swu1c0cSA';0;0;breaking news guguran lahar panas semeru terjadi kembali masyarakat dan tim relawan evakuasi diri dan nrelawan mri jawa timur heri setiawan melaporkan kondisi terkini erupsi gunung semeru dikatakan ahwa guguran lahar panas terjadi cukup esar sehingga warga;breaking news Semeru hot lava avalanche occurred again, the community and a team of self-evacuating volunteers and volunteers from MRI East Java, Heri Setiawan reported on the current condition of the eruption of Mount Semeru, saying that the hot lava fall was large enough that residents
16/12/2021 07:52;b'Kondisi Terkini Emergency Erupsi Semeru.Terjadi banjir bandang lahar dingin di kawasan Bondeli Utara. Seluruh tim bergegas mengevakuasi warga yang masih ada di zona kuning dan merah agar menuju zona yang lebih aman.\n\n#Semeru #Banjir #LaharDingin https://t.co/hyWjLKVG1n';1;1;kondisi terkini emergency erupsi semeru terjadi anjing andang lahar dingin di kawasan bondeli utara seluruh tim ergegas mengevakuasi warga yang masih ada di zona kuning dan merah agar menuju zona yang leih aman dan dan;the current condition of the emergency eruption of Semeru, there was an Andang dog with cold lava in the North Bondeli area, the entire ergegas team evacuated residents who were still in the yellow and red zones to a safer zone and
16/12/2021 07:39;b'Hujan abu semakin tebaal! Tim ACT-MRI mengevakuasi beberapa lansia untuk dibawa ke tempat yang lebih aman.\n\n----\nErupsi Gunung Semeru Jawa Timur\nOmnicron #daruratsemeru #erupsisemeru https://t.co/YTx9rxQAxM';1;3;hujan au semakin teaal tim act mri mengevakuasi eerapa lanjut usia untuk diawa ke tempat yang leih aman dan dan nerupsi gunung semeru jawa timur nomnicron;The rain is getting stronger, the mri act team evacuated several elderly people to be taken to a safer place and the eruption of Mount Semeru, East Java, Nomnicron
16/12/2021 07:37;b'EMERGENCY EVAKUASI! Tim yg berada di Ring 1 Erupsi Semeru segera mengamankan diri dikarenakan turunnya awan panas dan lahar dingin dari Semeru.\n\nSaat ini tim seluruhnya sedang berusaha mencapai titik paling aman. Untuk tim ACT-MRI telah mengamankan diri di Posko Induk Pronojiwo. https://t.co/ECsWe3i242';0;0;emergency evakuasi tim yang erada di ring 1 erupsi semeru segera mengamankan diri dikarenakan turunnya awan panas dan lahar dingin dari semeru dan nsaat ini tim seluruhnya sedang erusaha mencapai titik paling aman untuk tim act mri telah mengamankan diri di posko induk pronojiwo;emergency evacuation of the team that was in ring 1 of the eruption of Semeru immediately secured themselves due to the fall of hot clouds and cold lava from Semeru and currently the entire team is trying to reach the safest point for the act mri team to have secured themselves at the Pronojiwo main post
16/12/2021 07:20;b'RT @mahulun: Gunung Semeru Kembali Erupsi Hari Ini\nTeam Evakuasi dan Penduduk langsung bergegas menuju tempat yang aman https://t.co/1l4ukE\xe2\x80\xa6';1;0;gunung semeru kembali erupsi hari ini nteam evakuasi dan penduduk langsung ergegas menuju tempat yang aman;Mount Semeru Kemali erupted today, the evacuation team and residents immediately rushed to a safe place
16/12/2021 06:54;b'@Darryl_Wezy Semoga erupsi gunungnya lebih dini terdeteksi ya mas..biar segera ada evakuasi warga sehingga meminimalisir korban jiwa\nAamiiiiiiinnn';0;1;semoga erupsi gunungnya leih dini terdeteksi iya mas iar segera ada evakuasi warga sehingga meminimalisir korban jiwa naamiiiiiiinnn;I hope that the eruption of the mountain is detected early, yes, but there will be evacuation of residents soon, so as to minimize the news of the soul, naamiiiiiiinnn
16/12/2021 06:37;"b""Assalamu'alaikum\n\nInnalillahi\n\nErupsi Gn Semeru kembali terjadi\n\nKamis pagi (16/12/2021) di Kab Lumajang.\nTim SAR dN relawan yg sedang melakukan evakuasi diminta berhenti dan menjauh dari lokasi evakuaso\n\nRobb...\nAmpuni kami\n\nJagalah saudara2 kami\n\nAamiin Allahuma Aamiin https://t.co/EUK1e51zxP""";4;16;assalamu alaikum dan ninnalillahi dan nerupsi begini semeru kembali terjadi dan nkamis pagi 16 12 2021 di kakak lumajang ntim sar dn relawan yang sedang melakukan evakuasi diminta erhenti dan menjauh dari lokasi evakuaso dan nro nampuni kami dan njagalah saudara 2 kami dan naamiin allahuma aamiin;Assalamu alaikum and ninnalillahi and this kind of eruption happened again and Thursday morning 16 12 2021 at Brother Lumajang, Ntim Sar and volunteers who were evacuating were asked to stop and stay away from the evacuation site and please forgive us and take care of our 2 brothers and sisters, thank God
16/12/2021 05:55;b'RT @PKSLumajang: Sampai dengan hari ini, relawan Partai Keadilan Sejahtera (masih) tetap dan terus melakukan evakuasi bersama relawan lain\xe2\x80\xa6';1;0;sampai dengan hari ini relawan partai keadilan sejahtera masih tetap dan terus melakukan evakuasi ersama relawan lain   ;Until today, the Prosperous Justice Party volunteers are still and continue to evacuate with other volunteers xe2 x80 xa6
